Word: xmens, TF-IDF: 48.1150280683866
Word: year, TF-IDF: 48.060347241771176
Word: different, TF-IDF: 48.02061168893772
Word: comes, TF-IDF: 47.96082229307469
Word: reyslukes, TF-IDF: 47.92768630688841
Word: ok, TF-IDF: 47.885369774677116
Word: hemsworth, TF-IDF: 47.54087028562547
Word: stuff, TF-IDF: 47.4734116626522
Word: beautiful, TF-IDF: 47.46002516592349
Word: needs, TF-IDF: 47.405684407830336
Word: pretty, TF-IDF: 47.391321252470995
Word: yall, TF-IDF: 47.322705361617054
Word: redesigns, TF-IDF: 47.31702675994348
Word: guess, TF-IDF: 47.296554570473724
Word: proof, TF-IDF: 47.173245864410035
Word: prattprattpratt, TF-IDF: 47.05491612473587
Word: actresses, TF-IDF: 47.02245903979293
Word: press, TF-IDF: 46.88019469126458
Word: getting, TF-IDF: 46.674498323432466
Word: live, TF-IDF: 46.50864323501876
Word: true, TF-IDF: 46.268620750423246
Word: throwback, TF-IDF: 46.267110245173534
Word: joshwilding, TF-IDF: 46.2663271406932
Word: jenniferrcarey, TF-IDF: 46.215072111769
Word: paulrudd, TF-IDF: 46.19626567081789
Word: marvelironfist, TF-IDF: 46.035470226206115
Word: kept, TF-IDF: 46.02031703696111
Word: miles, TF-IDF: 45.99616284392693
Word: feel, TF-IDF: 45.96651283890303
Word: release, TF-IDF: 45.924900716500666
Word: petition, TF-IDF: 45.89235844438055
Word: tasharowmanoff, TF-IDF: 45.7492547710145
Word: tho, TF-IDF: 45.60837717833894
Word: hypebeast, TF-IDF: 45.54695102512104
Word: sif, TF-IDF: 45.51516413778083
Word: finally, TF-IDF: 45.335082268771025
